Activity_ID,Activity,Start,Finish_exclusive,Duration,Predecessor,Basis,Unit
P03-A01,현장 인도,2017-04-01,2017-04-02,1,,계획 기준,calendar day
P03-A02,조사 및 설계,2017-04-01,2017-06-30,90,,계획 기준,calendar day
P03-A03,가시설 승인,2017-05-01,2017-06-30,60,P03-A02 SS+30d,계획 기준,calendar day
P03-A04,주요 토공,2017-06-30,2017-12-27,180,P03-A03 FS,계획 기준,calendar day
P03-A05,주요 구조물,2017-09-28,2018-05-26,240,P03-A04 SS+90d,계획 기준,calendar day
P03-A06,설비 승인,2017-05-01,2017-07-30,90,P03-A02 SS+30d,계획 기준,calendar day
P03-A07,설비 제작 및 운송,2017-07-30,2018-02-25,210,P03-A06 FS,계획 기준,calendar day
P03-A08,설치 및 접속,2019-03-22,2019-07-20,120,P03-A07 FS,계획 기준,calendar day
P03-A09,시험 및 시운전,2019-07-20,2019-08-29,40,P03-A08 FS,계획 기준,calendar day
P03-A10,인도 및 복구,2019-08-29,2019-09-18,20,P03-A09 FS,계획 기준,calendar day
