Activity_ID,Activity,Start,Finish_exclusive,Duration,Predecessor,Basis,Unit
P06-A01,현장 인도,2020-03-01,2020-03-02,1,,계획 기준,calendar day
P06-A02,조사 및 설계,2020-03-01,2020-05-30,90,,계획 기준,calendar day
P06-A03,가시설 승인,2020-03-31,2020-05-30,60,P06-A02 SS+30d,계획 기준,calendar day
P06-A04,주요 토공,2020-05-30,2020-11-26,180,P06-A03 FS,계획 기준,calendar day
P06-A05,주요 구조물,2020-08-28,2021-04-25,240,P06-A04 SS+90d,계획 기준,calendar day
P06-A06,설비 승인,2020-03-31,2020-06-29,90,P06-A02 SS+30d,계획 기준,calendar day
P06-A07,설비 제작 및 운송,2020-06-29,2021-01-25,210,P06-A06 FS,계획 기준,calendar day
P06-A08,설치 및 접속,2022-06-19,2022-10-17,120,P06-A07 FS,계획 기준,calendar day
P06-A09,시험 및 시운전,2022-10-17,2022-11-26,40,P06-A08 FS,계획 기준,calendar day
P06-A10,인도 및 복구,2022-11-26,2022-12-16,20,P06-A09 FS,계획 기준,calendar day
